id,alt1,root1,brote1,tratamiento,alt2,root2,clora,clorb,pesoa,pesor,tur,manchas,raiz,brote2
1,67.9,33.2,0,control,72.2,37.4,86.156,35.845,498.1,158.2,1,0,1,2
2,48.3,26.5,1,control,65.8,35.9,74.127,28.547,423.9,127.4,1,0,1,2
3,48.6,31.2,1,control,59.9,40.9,69.741,34.154,386.7,150.4,1,0,1,3
4,60.1,27.1,0,control,63.9,25.3,57.845,17.246,368.4,146.1,1,0,1,1
5,68.8,40.6,1,control,73.1,46.9,107.542,51.127,476.8,161.2,1,0,1,2
6,43.1,24.2,0,control,58.7,26,72.171,41.587,458.5,172.3,1,0,1,3
7,46.8,16.6,1,control,58.7,34.1,55.117,18.871,397.6,164.1,1,0,1,1
8,68.2,46.7,1,control,74.9,50.1,96.641,45.247,510.7,198.7,1,0,1,2
9,71.4,51.4,1,control,77.3,56,126.617,61.124,512.2,203.1,1,0,1,3
10,46.6,27.8,0,control,58.5,31.5,47.124,19.839,341,108.4,1,0,1,1
11,41.5,29.7,0,control,45.4,32.8,51.284,21.674,429.3,124.7,1,0,1,3
12,63.6,33.3,1,control,69.8,39,70.874,34.154,412.04,130.4,1,0,1,2
13,42.8,27.7,0,control,47.8,32.1,59.172,21.118,228.3,97.4,1,0,1,1
14,59.7,34.4,0,control,65.2,36.5,67.841,31.145,254.6,93.1,1,0,1,1
15,47.2,32.3,1,control,59.6,38.6,64.125,27.124,384.2,127.3,1,0,1,2
16,64.6,36.4,0,control,69.1,38.6,84.367,41.675,386.5,108.9,1,0,1,0
17,43,31,1,control,50.9,37.3,61.874,21.457,430.2,102.6,1,0,1,2
18,52.4,29.9,1,control,60.6,35,68.547,27.124,387.3,111.2,1,0,1,2
19,61.4,32.8,1,control,67.4,49.1,98.245,34.372,345.2,118.4,1,0,1,1
20,44.4,29.8,0,control,51.1,34.1,64.217,45.674,418,188.1,1,0,0,3
21,30.3,23.2,0,sal,56.9,24.3,31.145,65.147,159.1,26.8,0,0,0,0
22,56.1,62,1,sal,56.9,62.9,47.871,66.187,124.2,64.2,0,0,0,0
23,54.8,32.2,1,sal,55.2,33.5,34.741,67.412,157.1,69.4,1,0,0,1
24,53.3,33.8,0,sal,57.7,35.1,31.147,24.645,127.8,51.7,0,0,1,2
25,50.4,25.2,0,sal,52.9,26.7,21.274,24.154,154.4,67.3,1,1,1,0
26,78,50.5,1,sal,80.5,51.2,45.783,68.411,134.6,48.2,0,1,1,1
27,66.4,47.9,1,sal,67.8,48.1,43.148,66.376,147.9,44.3,0,1,1,1
28,63.5,44.1,1,sal,64.3,44.2,18.391,21.245,145.1,58.7,1,0,0,1
29,67.4,20.4,1,sal,69,22.6,34.875,41.054,137,28.2,0,0,1,1
30,54.9,35.6,1,sal,57,36.9,37.842,68.214,123.8,47.5,1,1,1,1
31,49.9,50.2,1,sal,51.6,33.8,28.746,63.644,158.6,48.2,1,0,0,1
32,61.6,38.7,0,sal,62.8,38.7,47.745,57.236,127.5,41.6,1,0,0,0
33,61.5,24.8,0,sal,62.2,25.9,27.157,59.483,135.8,21.3,0,1,0,1
34,45.6,30.7,0,sal,47.6,34.2,47.382,61.571,121.9,21.4,0,0,1,1
35,68.6,30.3,1,sal,69.4,33.3,21.567,28.174,111.5,19.3,0,2,0,1
36,71.5,32.3,0,sal,72.8,34.1,47.463,63.194,127.4,28.4,1,0,0,0
37,28.5,31.4,0,sal,30.4,32.8,28.682,67.852,78.3,15.7,0,0,0,0
38,60.3,43.7,1,sal,63.1,44.2,48.164,68.537,118.7,26.8,0,0,0,1
39,56.6,30.4,0,sal,57.2,30.9,35.471,37.166,132.5,85.6,1,0,1,0
40,63.4,57.8,1,sal,65.2,59.4,66.256,26.348,115.3,29.4,0,0,0,1
41,72.1,39,1,hidrico,74.9,59.5,102.487,34.478,132.1,72.4,1,0,1,1
42,66.4,36.8,1,hidrico,67.8,50.4,106.147,39.547,128.6,59.8,0,0,1,1
43,54.7,28.1,0,hidrico,55.5,39.3,87.678,31.245,131.2,44.1,0,1,1,0
44,60.5,31,0,hidrico,62.5,43.2,97.154,34.846,121.8,56.2,0,0,1,0
45,59.6,34.9,0,hidrico,61.3,42.7,93.621,33.247,128.1,51.4,0,0,1,0
46,57.6,21.7,0,hidrico,58.4,50.6,98.472,32.031,111.5,61.2,0,0,1,0
47,53.7,35,1,hidrico,55.3,41.2,87.452,21.368,102.3,34.7,0,1,1,0
48,59,42.4,1,hidrico,61.4,53.1,101.544,34.427,106.5,48.6,0,0,1,0
49,53.7,25.7,0,hidrico,55.1,34.8,95.681,21.087,132.2,53.9,0,0,1,0
50,54.5,31.3,0,hidrico,55.7,41.4,94.571,24.357,139.4,53.7,0,0,1,0
51,52.6,28.4,0,hidrico,55.4,37.6,78.46,23.372,128.7,59.2,0,0,1,0
52,57.3,25.6,1,hidrico,59.4,34.9,87.213,23.734,144.2,61.7,0,0,1,1
53,57.8,27.2,1,hidrico,60.7,36.1,96.189,35.643,152.6,63.5,0,0,1,1
54,56.8,24.2,1,hidrico,57.4,37.8,88.415,27.241,134.9,55.1,0,1,1,1
55,47,26.9,1,hidrico,48.7,34.2,76.372,23.462,112.3,63.5,0,1,1,1
56,60.8,15.8,0,hidrico,62.8,34.8,89.162,41.746,168.1,67.2,0,0,1,1
57,62,30.3,1,hidrico,65.3,41.1,99.147,36.289,123.6,58.4,0,1,1,1
58,70.6,49.6,1,hidrico,70.6,55.4,111.243,35.034,169.7,57.3,0,0,1,1
59,61.1,32.2,1,hidrico,62.4,39.7,91.671,30.117,98.7,40.8,0,0,1,1
60,59.2,22.2,1,hidrico,62.1,31.7,87.241,33.443,95.4,31.9,0,0,1,1
61,64.1,32.1,1,combinado,64.1,33.1,34.588,18.033,58.7,17.4,0,1,0,1
62,69.3,20.1,1,combinado,70.3,32.4,42.798,20.632,168.3,26.4,0,1,0,1
63,68.2,31.2,0,combinado,70.8,25.3,45.165,20.197,126.3,28.6,0,0,0,1
64,67.1,23.8,0,combinado,67.4,38.1,34.057,19.228,124.8,18.6,0,0,0,1
65,67,33.8,1,combinado,67.2,39.5,36.278,22.527,125.2,19.6,0,0,0,1
66,50.2,18.5,0,combinado,51.4,20.7,37.186,21.743,62.3,14.3,0,0,0,0
67,75.5,24.1,0,combinado,76.2,30.4,41.521,20.148,115.6,21.7,0,0,0,0
68,62,23.2,1,combinado,64.5,27.4,46.423,20.272,85.1,10.7,0,0,1,0
69,56.7,21.1,1,combinado,60.7,28.4,40.631,21.32,73.2,19.7,0,0,0,1
70,63.9,35.7,0,combinado,64.2,36,35.726,18.361,69.3,17.6,0,0,0,1
71,45.5,32.1,0,combinado,46.4,32.1,37.148,19.218,44.8,25.3,0,0,0,0
72,53.2,23.9,1,combinado,54.6,24.7,24.039,18.648,56.7,11.7,0,2,0,0
73,63.6,35.5,1,combinado,64.9,36.4,21.054,20.512,59.4,12.5,0,1,0,1
74,64.8,32.6,0,combinado,67.5,33.6,37.147,21.874,61.7,13.4,0,1,1,1
75,63.9,28.4,0,combinado,65.8,32.3,45.149,21.753,67,11.9,0,1,1,0
76,46.2,29.1,0,combinado,46.2,29.8,29.348,18.456,48.4,13,1,2,0,0
77,62.3,28.4,0,combinado,62.4,28.7,25.641,18.277,79.6,12.3,0,2,0,0
78,46.1,32.7,1,combinado,46.6,33.8,27.236,18.005,58.1,15.7,0,0,0,1
79,52.2,22.5,1,combinado,54.7,22.8,48.671,20.151,61.7,21.7,0,1,0,1
80,64,42.4,0,combinado,64.4,42.9,34.856,27.569,49.7,10.8,0,0,0,0
